# Energy Eigenvalues:,4.934802,19.739209,44.413221,78.956839,123.370071
# Position x, Psi 1,Psi 2,Psi 3,Psi 4,Psi 5
-5.183946488294316479e-02,1.395500465761174702e+00,4.525315606958474901e-01,-1.248753962794818539e+00,-8.574763057622225570e-01,9.706923660323435454e-01
-4.849498327759199645e-02,1.397832646510613452e+00,4.242779808627566984e-01,-1.269053421532342574e+00,-8.094681716939992056e-01,1.023359118089871567e+00
-4.515050167224082811e-02,1.400010512114582273e+00,3.958370518172634744e-01,-1.288092087168862809e+00,-7.600304420355769031e-01,1.073202124621293052e+00
-4.180602006688965977e-02,1.402033822145409836e+00,3.672213322729896978e-01,-1.305851044962216490e+00,-7.092504283861643666e-01,1.120083854272655000e+00
-3.846153846153849143e-02,1.403902353237744149e+00,3.384434581261209773e-01,-1.322312651548412710e+00,-6.572178129425318982e-01,1.163874946714417824e+00
-3.511705685618732309e-02,1.405615899113209943e+00,3.095161368757504139e-01,-1.337460552470155495e+00,-6.040244901119642407e-01,1.204454569584232582e+00
-3.177257525083615475e-02,1.407174270603180899e+00,2.804521420126050435e-01,-1.351279698424850295e+00,-5.497644042182444624e-01,1.241710751898579934e+00
-2.842809364548493090e-02,1.408577295669664053e+00,2.512643073786313686e-01,-1.363756360215948371e+00,-4.945333835872967598e-01,1.275540693013282656e+00
-2.508361204013376256e-02,1.409824819424291498e+00,2.219655214999336768e-01,-1.374878142392780944e+00,-4.384289713055099513e-01,1.305851046280384953e+00
-2.173913043478259421e-02,1.410916704145419587e+00,1.925687218955612068e-01,-1.384633995565325737e+00,-3.815502529496282436e-01,1.332558176618709567e+00
-1.839464882943142587e-02,1.411852829293332778e+00,1.630868893646656159e-01,-1.393014227381677905e+00,-3.239976815924691111e-01,1.355588391287372296e+00
-1.505016722408025753e-02,1.412633091523550766e+00,1.335330422545452367e-01,-1.400010512157312537e+00,-2.658729003935131896e-01,1.374878143225488847e+00
-1.170568561872908919e-02,1.413257404698237352e+00,1.039202307121091934e-01,-1.405615899146577696e+00,-2.072785630876916307e-01,1.390374206396999934e+00
-8.361204013377920852e-03,1.413725699895709731e+00,7.426153092130002853e-02,-1.409824819448196820e+00,-1.483181526894040425e-01,1.402033822656785222e+00
-5.016722408026752511e-03,1.414037925418047070e+00,4.457003932901892895e-02,-1.412633091537922381e+00,-8.909579873195201671e-02,1.409824819732821588e+00
-1.672240802675584170e-03,1.414194046796797943e+00,1.485886686210346509e-02,-1.414037925422842346e+00,-2.971609336516077907e-02,1.413725699998837682e+00
1.672240802675584170e-03,1.414194046796784621e+00,-1.485886686208858637e-02,-1.414037925413211827e+00,2.971609336402276230e-02,1.413725699792516055e+00
5.016722408026752511e-03,1.414037925418007324e+00,-4.457003932893297687e-02,-1.412633091509059913e+00,8.909579872172392057e-02,1.409824819115564232e+00
8.361204013377920852e-03,1.413725699895643562e+00,-7.426153092107200260e-02,-1.409824819400188112e+00,1.483181526610279077e-01,1.402033821633707822e+00
1.170568561872908919e-02,1.413257404698144981e+00,-1.039202307116682406e-01,-1.405615899079566189e+00,2.072785630321736239e-01,1.390374204976602801e+00
1.505016722408025753e-02,1.412633091523431972e+00,-1.335330422538206496e-01,-1.400010512071498514e+00,2.658729003019554837e-01,1.374878141419617839e+00
1.839464882943142587e-02,1.411852829293187561e+00,-1.630868893635869787e-01,-1.393014227277318273e+00,3.239976814561014717e-01,1.355588389111163528e+00
2.173913043478259421e-02,1.410916704145248168e+00,-1.925687218940583534e-01,-1.384633995442733578e+00,3.815502527598392812e-01,1.332558174090520575e+00
2.508361204013376256e-02,1.409824819424093656e+00,-2.219655214979369129e-01,-1.374878142252325075e+00,4.384289710538780138e-01,1.305851043421708990e+00
2.842809364548493090e-02,1.408577295669440232e+00,-2.512643073760713608e-01,-1.363756360058052897e+00,4.945333832656201856e-01,1.275540689848650322e+00
3.177257525083609924e-02,1.407174270602931099e+00,-2.804521420094124862e-01,-1.351279698249993277e+00,5.497644038185705018e-01,1.241710748455445490e+00
3.511705685618726758e-02,1.405615899112934164e+00,-3.095161368718574724e-01,-1.337460552278869175e+00,6.040244896266208086e-01,1.204454565892844942e+00
3.846153846153843592e-02,1.403902353237442613e+00,-3.384434581214600946e-01,-1.322312651341281065e+00,6.572178123641534420e-01,1.163874942807681556e+00
4.180602006688960426e-02,1.402033822145082320e+00,-3.672213322674939273e-01,-1.305851044739876565e+00,7.092504277077197328e-01,1.120083850185976670e+00
4.515050167224077260e-02,1.400010512114229000e+00,-3.958370518108665914e-01,-1.288092086932001168e+00,7.600304412503966489e-01,1.073202120392414471e+00
4.849498327759194094e-02,1.397832646510234644e+00,-4.242779808553932552e-01,-1.269053421281695737e+00,8.094681707958009120e-01,1.023359113758693928e+00
5.183946488294310928e-02,1.395500465760770581e+00,-4.525315606874530383e-01,-1.248753962531171879e+00,8.574763047451353648e-01,9.706923616407391320e-01
5.518394648829427762e-02,1.393014227329283372e+00,-4.805853153215629003e-01,-1.227213878009186798e+00,9.039700562975405695e-01,9.153471869296762042e-01
5.852842809364544596e-02,1.390374205686573550e+00,-5.084268570094221396e-01,-1.204454567594985592e+00,9.488673131914200365e-01,8.574763030636998185e-01
6.187290969899661430e-02,1.387580692280494743e+00,-5.360438917099931144e-01,-1.180498642457713077e+00,9.920887827222821809e-01,7.972393926472686188e-01
6.521739130434778264e-02,1.384633995503777415e+00,-5.634242245182033981e-01,-1.155369902592423337e+00,1.033558131780983214e+00,7.348026668403448980e-01
6.856187290969895098e-02,1.381534440659985874e+00,-5.905557650498732825e-01,-1.129093313174998059e+00,1.073202121665052244e+00,6.703384067334499097e-01
